Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-05-07,FlyDubai,Chennai,Dubai,Business,First Flyer,25.196550632771466
2021-05-08,FlyDubai,Chennai,Dubai,Business,First Flyer,25.581333092868256
2021-05-09,FlyDubai,Chennai,Dubai,Business,First Flyer,27.09948555038956
2021-05-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.137844156849706
2021-05-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.002409139839177
2021-05-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.675113678253776
2021-05-13,FlyDubai,Chennai,Dubai,Business,First Flyer,24.04103520547592
2021-05-14,FlyDubai,Chennai,Dubai,Business,First Flyer,25.245968362864343
2021-05-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.630750823115598
2021-05-16,FlyDubai,Chennai,Dubai,Business,First Flyer,27.148903280790393
2021-05-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.187261887248393
2021-05-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.05182687023542
2021-05-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.72453140865527
2021-05-20,FlyDubai,Chennai,Dubai,Business,First Flyer,24.09045293587603
2021-05-21,FlyDubai,Chennai,Dubai,Business,First Flyer,25.29538609326181
2021-05-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.680168553187567
2021-05-23,FlyDubai,Chennai,Dubai,Business,First Flyer,27.198321010540514
2021-05-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.236679616675097
2021-05-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.101244599333775
2021-05-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.773949137429366
2021-05-27,FlyDubai,Chennai,Dubai,Business,First Flyer,24.139870664315126
2021-05-28,FlyDubai,Chennai,Dubai,Business,First Flyer,25.34480382137592
2021-05-29,FlyDubai,Chennai,Dubai,Business,First Flyer,25.7295862813016
2021-05-30,FlyDubai,Chennai,Dubai,Business,First Flyer,27.247738738653506
2021-05-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.28609734478594
2021-06-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.15066232744531
2021-06-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.823366865195467
2021-06-03,FlyDubai,Chennai,Dubai,Business,First Flyer,24.189288391735243
2021-06-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.394221548449483
2021-06-05,FlyDubai,Chennai,Dubai,Business,First Flyer,25.77900400802546
2021-06-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.29715646503014
2021-06-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.335515070815774
2021-06-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.200080053125628
2021-06-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.87278459087206
2021-06-10,FlyDubai,Chennai,Dubai,Business,First Flyer,24.23870611741176
2021-06-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.44363927413079
2021-06-12,FlyDubai,Chennai,Dubai,Business,First Flyer,25.82842173370882
2021-06-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.346574190710335
2021-06-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.384931468340227
2021-06-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.249495122490263
2021-06-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.922198332075116
2021-06-17,FlyDubai,Chennai,Dubai,Business,First Flyer,24.288118530468168
2021-06-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.49305035901838
2021-06-19,FlyDubai,Chennai,Dubai,Business,First Flyer,25.877831490442976
2021-06-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.395982619288553
2021-06-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.434339896917603
2021-06-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.298903551068797
2021-06-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.971606760655295
2021-06-24,FlyDubai,Chennai,Dubai,Business,First Flyer,24.33752695904271
2021-06-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.542458787595812
2021-06-26,FlyDubai,Chennai,Dubai,Business,First Flyer,25.927239920780966
2021-06-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.4453910513821
2021-06-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.48374833077136
2021-06-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.348311986681935
2021-06-30,FlyDubai,Chennai,Dubai,Business,First Flyer,27.021015198030046
2021-07-01,FlyDubai,Chennai,Dubai,Business,First Flyer,24.386935398180945
2021-07-02,FlyDubai,Chennai,Dubai,Business,First Flyer,25.59186722849755
2021-07-03,FlyDubai,Chennai,Dubai,Business,First Flyer,25.976648361676382
2021-07-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.49479949228463
2021-07-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.533156771673045
2021-07-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.397720427586375
2021-07-07,FlyDubai,Chennai,Dubai,Business,First Flyer,27.070423637684016
2021-07-08,FlyDubai,Chennai,Dubai,Business,First Flyer,24.436343836587263
2021-07-09,FlyDubai,Chennai,Dubai,Business,First Flyer,25.641275665659442
2021-07-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.026056797594062
2021-07-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.544207926955824
2021-07-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.58256520509713
2021-07-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.447128859762213
2021-07-14,FlyDubai,Chennai,Dubai,Business,First Flyer,27.119832069867158
2021-07-15,FlyDubai,Chennai,Dubai,Business,First Flyer,24.485752268770568
2021-07-16,FlyDubai,Chennai,Dubai,Business,First Flyer,25.690684097838357
2021-07-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.075465229770817
2021-07-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.593616359128582
2021-07-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.63197363737492
2021-07-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.49653729214514
2021-07-21,FlyDubai,Chennai,Dubai,Business,First Flyer,27.169240502347062
2021-07-22,FlyDubai,Chennai,Dubai,Business,First Flyer,24.535160701353202
2021-07-23,FlyDubai,Chennai,Dubai,Business,First Flyer,25.740092530521075
2021-07-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.124873662555704
2021-07-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.64302479201686
2021-07-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.681382070256728
2021-07-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.545945725024506
2021-07-28,FlyDubai,Chennai,Dubai,Business,First Flyer,27.21864893522742
2021-07-29,FlyDubai,Chennai,Dubai,Business,First Flyer,24.584569134233497
2021-07-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.78950096340167
2021-07-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.174282095435153
2021-08-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.692433224887584
2021-08-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.730790503127203
2021-08-03,FlyDubai,Chennai,Dubai,Business,First Flyer,27.595354157886852
2021-08-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.268057368083205
2021-08-05,FlyDubai,Chennai,Dubai,Business,First Flyer,24.633977567079963
2021-08-06,FlyDubai,Chennai,Dubai,Business,First Flyer,25.838909396241462
2021-08-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.223690528274897
2021-08-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.741841657728173
2021-08-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.780198935962687
2021-08-10,FlyDubai,Chennai,Dubai,Business,First Flyer,27.64476259072303
2021-08-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.31746580031832
2021-08-12,FlyDubai,Chennai,Dubai,Business,First Flyer,24.683385998719025
2021-08-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.888317827284496
2021-08-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.27309895871789
2021-08-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.791250087569605
2021-08-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.829607365204637
2021-08-17,FlyDubai,Chennai,Dubai,Business,First Flyer,27.694171019368344
2021-08-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.36687422897094
2021-08-19,FlyDubai,Chennai,Dubai,Business,First Flyer,24.732794427363476
2021-08-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.937726255930794
2021-08-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.32250738736103
2021-08-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.84065851621774
2021-08-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.879015793748998
2021-08-24,FlyDubai,Chennai,Dubai,Business,First Flyer,27.743579447799274
2021-08-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.41628265729095
2021-08-26,FlyDubai,Chennai,Dubai,Business,First Flyer,24.782202855584558
2021-08-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.98713468404114
2021-08-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.371915815364115
2021-08-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.89006694411259
2021-08-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.9284242216417
2021-08-31,FlyDubai,Chennai,Dubai,Business,First Flyer,27.792987875698984
2021-09-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.46569108519071
2021-09-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.831611283481617
2021-09-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.03654311210417
2021-09-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.421324243591013
2021-09-05,FlyDubai,Chennai,Dubai,Business,First Flyer,27.93947537250235
2021-09-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.977832650197325
2021-09-07,FlyDubai,Chennai,Dubai,Business,First Flyer,27.84239630441409
2021-09-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.515099514071782
2021-09-09,FlyDubai,Chennai,Dubai,Business,First Flyer,24.881019712527593
2021-09-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.08595154115492
2021-09-11,FlyDubai,Chennai,Dubai,Business,First Flyer,26.47073267263649
2021-09-12,FlyDubai,Chennai,Dubai,Business,First Flyer,27.988883801551985
2021-09-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.027241079244813
2021-09-14,FlyDubai,Chennai,Dubai,Business,First Flyer,27.891804733466994
2021-09-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.564507942858675
2021-09-16,FlyDubai,Chennai,Dubai,Business,First Flyer,24.930428141052637
2021-09-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.135359969410995
2021-09-18,FlyDubai,Chennai,Dubai,Business,First Flyer,26.520141100635694
2021-09-19,FlyDubai,Chennai,Dubai,Business,First Flyer,28.038292229287578
2021-09-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.076649506720422
2021-09-21,FlyDubai,Chennai,Dubai,Business,First Flyer,27.941213160677698
2021-09-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.61391637007196
2021-09-23,FlyDubai,Chennai,Dubai,Business,First Flyer,24.979836568257756
2021-09-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.184768396618995
2021-09-25,FlyDubai,Chennai,Dubai,Business,First Flyer,26.569549527842582
2021-09-26,FlyDubai,Chennai,Dubai,Business,First Flyer,28.087700656490473
2021-09-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.126057933939048
2021-09-28,FlyDubai,Chennai,Dubai,Business,First Flyer,27.990621587913544
2021-09-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.663324797323266
2021-09-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.02924499552555
2021-10-01,FlyDubai,Chennai,Dubai,Business,First Flyer,26.234176823901677
2021-10-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.61895795513908
2021-10-03,FlyDubai,Chennai,Dubai,Business,First Flyer,28.137109083805175
2021-10-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.17546636125155
2021-10-05,FlyDubai,Chennai,Dubai,Business,First Flyer,28.040030015224065
2021-10-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.71273322463006
2021-10-07,FlyDubai,Chennai,Dubai,Business,First Flyer,25.07865342283227
2021-10-08,FlyDubai,Chennai,Dubai,Business,First Flyer,26.283585251573815
2021-10-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.668366383184956
2021-10-10,FlyDubai,Chennai,Dubai,Business,First Flyer,28.186517512214035
2021-10-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.224874790027467
2021-10-12,FlyDubai,Chennai,Dubai,Business,First Flyer,28.089438444365367
2021-10-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.762141654142297
2021-10-14,FlyDubai,Chennai,Dubai,Business,First Flyer,25.128061852713365
2021-10-15,FlyDubai,Chennai,Dubai,Business,First Flyer,26.33299368145051
2021-10-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.71777481305949
2021-10-17,FlyDubai,Chennai,Dubai,Business,First Flyer,28.235925942090482
2021-10-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.27428321990307
2021-10-19,FlyDubai,Chennai,Dubai,Business,First Flyer,28.138846874242134
2021-10-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.81155008326561
2021-10-21,FlyDubai,Chennai,Dubai,Business,First Flyer,25.177470281092948
2021-10-22,FlyDubai,Chennai,Dubai,Business,First Flyer,26.38240210908535
2021-10-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.767183239948732
2021-10-24,FlyDubai,Chennai,Dubai,Business,First Flyer,28.28533436822807
2021-10-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.323691645294875
2021-10-26,FlyDubai,Chennai,Dubai,Business,First Flyer,28.18825529888491
2021-10-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.860958507909384
2021-10-28,FlyDubai,Chennai,Dubai,Business,First Flyer,25.226878705739587
2021-10-29,FlyDubai,Chennai,Dubai,Business,First Flyer,26.431810533734875
2021-10-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.816591664593002
2021-10-31,FlyDubai,Chennai,Dubai,Business,First Flyer,28.334742792878394
2021-11-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.373100069948613
2021-11-02,FlyDubai,Chennai,Dubai,Business,First Flyer,28.237663723537135
2021-11-03,FlyDubai,Chennai,Dubai,Business,First Flyer,27.9103669325574
2021-11-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.27628713039162
2021-11-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.481218958383366
2021-11-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.866000089242476
2021-11-07,FlyDubai,Chennai,Dubai,Business,First Flyer,28.384151217528714
2021-11-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.422508494593824
2021-11-09,FlyDubai,Chennai,Dubai,Business,First Flyer,28.287072148184635
2021-11-10,FlyDubai,Chennai,Dubai,Business,First Flyer,27.959775357212205
2021-11-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.3256955550412
2021-11-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.530627383033934
2021-11-13,FlyDubai,Chennai,Dubai,Business,First Flyer,26.91540851389089
2021-11-14,FlyDubai,Chennai,Dubai,Business,First Flyer,28.433559642174494
2021-11-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.471916919242094
2021-11-16,FlyDubai,Chennai,Dubai,Business,First Flyer,28.336480572832137
2021-11-17,FlyDubai,Chennai,Dubai,Business,First Flyer,28.00918378186023
2021-11-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.375103979684898
2021-11-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.58003580768242
2021-11-20,FlyDubai,Chennai,Dubai,Business,First Flyer,26.964816938540363
2021-11-21,FlyDubai,Chennai,Dubai,Business,First Flyer,28.48296806682481
2021-11-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.52132534388731
2021-11-23,FlyDubai,Chennai,Dubai,Business,First Flyer,28.38588899747963
2021-11-24,FlyDubai,Chennai,Dubai,Business,First Flyer,28.058592206504002
