Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-04-26,FlyDubai,Chennai,Dubai,Business,First Flyer,321451.5623643082
2021-04-27,FlyDubai,Chennai,Dubai,Business,First Flyer,332124.6170904918
2021-04-28,FlyDubai,Chennai,Dubai,Business,First Flyer,328084.1546153322
2021-04-29,FlyDubai,Chennai,Dubai,Business,First Flyer,295566.4558670634
2021-04-30,FlyDubai,Chennai,Dubai,Business,First Flyer,310441.3556930806
2021-05-01,FlyDubai,Chennai,Dubai,Business,First Flyer,315191.495162989
2021-05-02,FlyDubai,Chennai,Dubai,Business,First Flyer,333933.0872511155
2021-05-03,FlyDubai,Chennai,Dubai,Business,First Flyer,322061.6242459471
2021-05-04,FlyDubai,Chennai,Dubai,Business,First Flyer,332734.67895899544
2021-05-05,FlyDubai,Chennai,Dubai,Business,First Flyer,328694.2164839202
2021-05-06,FlyDubai,Chennai,Dubai,Business,First Flyer,296176.5177355343
2021-05-07,FlyDubai,Chennai,Dubai,Business,First Flyer,311051.4175615637
2021-05-08,FlyDubai,Chennai,Dubai,Business,First Flyer,315801.55703145865
2021-05-09,FlyDubai,Chennai,Dubai,Business,First Flyer,334543.1491195591
2021-05-10,FlyDubai,Chennai,Dubai,Business,First Flyer,322671.68611630966
2021-05-11,FlyDubai,Chennai,Dubai,Business,First Flyer,333344.7408313146
2021-05-12,FlyDubai,Chennai,Dubai,Business,First Flyer,329304.2783580429
2021-05-13,FlyDubai,Chennai,Dubai,Business,First Flyer,296786.57961160026
2021-05-14,FlyDubai,Chennai,Dubai,Business,First Flyer,311661.4794395603
2021-05-15,FlyDubai,Chennai,Dubai,Business,First Flyer,316411.6189113621
2021-05-16,FlyDubai,Chennai,Dubai,Business,First Flyer,335153.2110013574
2021-05-17,FlyDubai,Chennai,Dubai,Business,First Flyer,323281.74799808144
2021-05-18,FlyDubai,Chennai,Dubai,Business,First Flyer,333954.80271305627
2021-05-19,FlyDubai,Chennai,Dubai,Business,First Flyer,329914.3402398493
2021-05-20,FlyDubai,Chennai,Dubai,Business,First Flyer,297396.64149338956
2021-05-21,FlyDubai,Chennai,Dubai,Business,First Flyer,312271.5413213171
2021-05-22,FlyDubai,Chennai,Dubai,Business,First Flyer,317021.6807891005
2021-05-23,FlyDubai,Chennai,Dubai,Business,First Flyer,335763.27287512267
2021-05-24,FlyDubai,Chennai,Dubai,Business,First Flyer,323891.8098678541
2021-05-25,FlyDubai,Chennai,Dubai,Business,First Flyer,334564.8645787754
2021-05-26,FlyDubai,Chennai,Dubai,Business,First Flyer,330524.4021015655
2021-05-27,FlyDubai,Chennai,Dubai,Business,First Flyer,298006.70335097023
2021-05-28,FlyDubai,Chennai,Dubai,Business,First Flyer,312881.60317488573
2021-05-29,FlyDubai,Chennai,Dubai,Business,First Flyer,317631.74264266825
2021-05-30,FlyDubai,Chennai,Dubai,Business,First Flyer,336373.3347286776
2021-05-31,FlyDubai,Chennai,Dubai,Business,First Flyer,324501.87172138237
2021-06-01,FlyDubai,Chennai,Dubai,Business,First Flyer,335174.92643231235
2021-06-02,FlyDubai,Chennai,Dubai,Business,First Flyer,331134.463950838
2021-06-03,FlyDubai,Chennai,Dubai,Business,First Flyer,298616.76519597153
2021-06-04,FlyDubai,Chennai,Dubai,Business,First Flyer,313491.6650156088
2021-06-05,FlyDubai,Chennai,Dubai,Business,First Flyer,318241.8044790743
2021-06-06,FlyDubai,Chennai,Dubai,Business,First Flyer,336983.3965607971
